w1_engine1,w2_engine2,roc_auc,pr_auc
0.0,1.0,0.5145,0.0926
0.05,0.95,0.5483,0.1036
0.1,0.9,0.5602,0.1186
0.15,0.85,0.5706,0.137
0.2,0.8,0.5806,0.1529
0.25,0.75,0.5895,0.1635
0.3,0.7,0.5983,0.1785
0.35,0.65,0.6056,0.1883
0.4,0.6,0.6138,0.1963
0.45,0.55,0.6233,0.2049
0.5,0.5,0.6333,0.2119
0.55,0.45,0.6435,0.2207
0.6,0.4,0.6561,0.2282
0.65,0.35,0.6676,0.2342
0.7,0.3,0.6803,0.2434
0.75,0.25,0.6942,0.2482
0.8,0.2,0.7097,0.2516
0.85,0.15,0.7242,0.2543
0.9,0.1,0.7351,0.2568
0.95,0.05,0.7433,0.2559
1.0,0.0,0.7479,0.2602
